福建圣农发展股份有限公司,鸡翅根,1444755,将乐县水南乐美佳超市,福建,福建省光泽县十里铺,2023-07-08,1kg/袋,合格
福建圣农发展股份有限公司,鸡翅根,1444755,沃尔玛（湖北）商业零售有限公司武汉南湖花园分店,湖北,福建省光泽县十里铺,2023-05-27,500克/袋,合格
福建圣农发展股份有限公司,鸡翅根,1444755,连江县丹阳镇雷云英食杂店,/,福建省光泽县十里铺,2023-05-17,500克/袋,合格
福建圣农发展股份有限公司,鸡翅根,1444755,沃尔玛（湖北）商业零售有限公司宜昌九码头分店,湖北,福建省光泽县十里铺,2023-07-20,/,合格
福建圣农发展股份有限公司,鸡翅根,1444755,玉田县陈家铺乡利洪便利店,/,福建省光泽县十里铺,2023-05-07,1kg/袋,合格
福建圣农发展股份有限公司,鸡翅根,1444755,东山吉马商贸有限公司西埔购物商场,福建,福建省光泽县十里铺,2021-12-15,500g/包,合格
福建圣农发展股份有限公司,鸡翅根,1444755,东山县杏陈镇永保贸易商行,/,福建省光泽县十里铺,2021-12-15,500克/包,合格
福建圣农发展股份有限公司,鸡翅根,1444755,仙游县郊尾镇悦民超市,福建,福建省光泽县十里铺,2022-07-02,1kg/袋,合格
福建圣农发展股份有限公司,鸡翅根,1444755,大田县润家商贸有限公司,福建,福建省光泽县十里铺,/,1kg/袋,合格
福建圣农发展股份有限公司,鸡翅根,1444755,上海壹佰米网络科技有限公司（叮咚买菜）,上海,福建省光泽县十里铺,2020-02-10,500克/袋,合格
福建圣农发展股份有限公司,鸡翅根,1444755,百胜餐饮（福州)有限公司肯德基连江莲荷餐厅,福建,福建省光泽县十里铺,2019-08-30,40片/袋,合格
福建圣农发展股份有限公司,鸡琵琶腿,1522073,福建吉马经贸有限公司南靖金山购物商场,福建,福建省光泽县十里铺,2023-06-11,500克/袋,合格
福建圣农发展股份有限公司,鸡琵琶腿,1522073,沃尔玛（湖北）商业零售有限公司武汉南湖花园分店,湖北,福建省光泽县十里铺,2023-06-06,500克/袋,合格
福建圣农发展股份有限公司,鸡琵琶腿,1522073,连江县杨丰玲超市,福建,福建省光泽县十里铺,2023-05-07,500克/袋,合格
福建圣农发展股份有限公司,鸡琵琶腿,1522073,贵州华联综合超市有限公司第二分公司,/,福建省光泽县十里铺,2022-07-08,500克/袋,合格
福建圣农发展股份有限公司,鸡琵琶腿,1522073,沃尔玛（湖北）商业零售有限公司仙桃黄金大道分店,湖北,福建省光泽县十里铺,2022-08-06,500克/袋,合格
福建圣农发展股份有限公司,鸡琵琶腿,1522073,沃尔玛（湖北）商业零售有限公司洪湖宏伟南路分店,湖北,福建省光泽县十里铺,2022-08-17,500克/袋,合格
福建圣农发展股份有限公司,鸡琵琶腿,1522073,福建冠业投资发展有限公司平潭龙里店,福建,福建省光泽县十里铺,2022-04-21,500克/袋,合格
福建圣农发展股份有限公司,鸡琵琶腿,1522073,福州朴朴电子商务有限公司闽侯县分公司,福建,福建省光泽县十里铺,2021-09-02,500g/袋,合格
